fold,iteration,feature,importance
4,14,lcavol,0.14979244984513496
4,15,lcavol,0.21732879757488488
4,16,lcavol,0.33129521626669056
4,17,lcavol,0.23286299043152214
4,18,lcavol,0.13497746891500417
4,19,lcavol,0.1033476580200835
4,20,lcavol,0.21497178645489246
4,21,lcavol,0.1862383794018586
4,22,lcavol,0.3677444345485624
4,23,lcavol,0.23766313226903646
4,24,lcavol,0.380878566330373
4,25,lcavol,0.13787944407888475
4,26,lcavol,0.14787826042690855
4,27,lcavol,0.18691332188580445
4,28,lcavol,0.1379835025164139
4,29,lcavol,0.15946298912975132
4,30,lcavol,0.3327220168698245
4,1,lweight,0.031371099366536814
4,2,lweight,-0.06403086635993926
4,3,lweight,0.0027789794428926262
4,4,lweight,0.07901032881780734
4,5,lweight,-0.01719662164358704
4,6,lweight,-0.015920182369348557
4,7,lweight,0.012246090500196538
4,8,lweight,-0.016370639062430747
4,9,lweight,-0.08605570955444919
4,10,lweight,-0.047758406413716425
4,11,lweight,-0.13613144681106037
4,12,lweight,0.00257155679463017
4,13,lweight,-0.01750183336919542
4,14,lweight,0.006422418157290055
4,15,lweight,-0.06174477979331805
4,16,lweight,-0.009435870709390781
4,17,lweight,-0.023977375352961405
4,18,lweight,-0.0787746453233289
4,19,lweight,-0.06281468595719253
4,20,lweight,-0.04116401915139345
4,21,lweight,-0.025060874599250438
4,22,lweight,-0.00044371075431959284
4,23,lweight,0.02234010001769693
4,24,lweight,-0.10536731619271456
4,25,lweight,0.03973313970045711
4,26,lweight,-0.053915162702190766
4,27,lweight,-0.0749253474881213
4,28,lweight,0.049680128085134
4,29,lweight,0.055294715646228676
4,30,lweight,0.034451299389548495
4,1,age,0.009943879686564738
4,2,age,0.04529319422856337
4,3,age,0.026801922597193384
4,4,age,0.0137694945025294
4,5,age,0.05485695920097966
4,6,age,0.027391572549003818
4,7,age,0.0375066512843083
4,8,age,0.036407306457823974
4,9,age,0.043736805243273835
4,10,age,0.032912396713753234
4,11,age,0.04335531529205827
4,12,age,0.04081637954608186
4,13,age,0.0426749809566328
4,14,age,0.045979886088389654
4,15,age,0.01917406165818103
4,16,age,0.036978211647688886
4,17,age,0.03171690682075712
4,18,age,0.0736797405075863
4,19,age,0.05534357445740146
4,20,age,0.02660033124082295
4,21,age,0.03133865614709852
4,22,age,0.0496091986793038
4,23,age,0.016723936275765405
4,24,age,0.0446232539524164
4,25,age,0.03807145187780925
4,26,age,0.07335421496226158
4,27,age,0.04142374279678307
4,28,age,0.030994931606487364
4,29,age,0.03565411215748604
4,30,age,0.02046145741818084
4,1,lbph,0.008733659616877332
4,2,lbph,-0.0011079358560931452
4,3,lbph,-0.05045534119896722
4,4,lbph,0.014195110299426328
